Name,Price,Description,Reviews,Rating,Image URL
"ASIAN Men's CAPTAIN-13 Sports Running,Walking & Gym Shoes with Lightweight Eva Sole with Casual Sneaker Shoes for Men's & Boy's",₹579,"['Lightweight & Breathable : Exclusive design and durable materials every step feels light and breezy. Breathable, free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience.', 'Non Slip & Shockproof : Great engineering strikes a balance in style, made in the potent design and latest fashion trends. Made for long-term wear, with extra emphasis on providing cushion to the feet, removing heel strain.', 'Comfort Sole & Flexible Walk : The outsoles are made by an air cushion, doubling the effect of shock absorption. Besides, these shoes perform excellent in durability and are also slip resistant. It provides push cushioning comfort for foot pain relief and helps relieve pressure while conforming to your every step']","3,044 ratings",3.7 out of 5 stars,https://m.media-amazon.com/images/I/412mlBTMqlL._SY395_SX395_.jpg
Woodland Mens G 40777cma Sneaker,"₹1,939","['This product is handmade, and may have slight differences in stitching compared to the image']","7,215 ratings",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41BvzKoWu-L._SX395_SY395_.jpg
Reebok Mens Comfort Infused Running Shoe,"₹2,359",['Synthetic'],"1,318 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/4109z4YVUrL._SY395_SX395_.jpg
Bata Mens Boss-sail EUniform Dress Shoe,₹775,"['Comfortable and light', 'Color Black', 'Outer Material Synthetic', 'Heel Height 2', 'Clean With dry cloth']",13 ratings,3.8 out of 5 stars,https://m.media-amazon.com/images/I/310pKX4VW1L._SX395_SY395_.jpg
Adidas Mens Run Steady M Running Shoe,"₹2,879","['Upper Material-Mesh', 'Fastening-Lace up', 'Outsole Type-Marking', 'Ankle Height-Low', 'Arch Type-Medium']","1,072 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41O7Xor+MZL._SX395_SY395_.jpg
Campus Men's MAXICO Running Shoes,₹699,"['Material Type: Mesh', 'Lifestyle: Sports', 'Warranty Type: Manufacturer', 'Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner']","26,475 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41pMjO0TF2L._SY395_SX395_.jpg
Adidas Mens Fluidglow M Sneaker,"₹1,919",['Upper Material: Pu and Textile; Outer Sole: Rubber ;Color: Stone/ftwwht/acimin/d ;Closure: Slip-on; Ankle Height: Regular ;Cushioning: Medium; Insole: Padded ;Package Contents: Pair of Running Shoes'],"2,000 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41P5bYBG1NL._SX395_SY395_.jpg
"JQR SPECIAL-001 Shoes for Men, Sports Shoes for Men, Running Shoes for Men, Men Shoes, Sports Shoes, Walking Shoes for Men, Sport Shoes for Men, Gym Shoes for Men",₹749,"['Outer Material:Mesh', 'Ankle Length:Low']",311 ratings,4.5 out of 5 stars,https://m.media-amazon.com/images/I/41hQf9clkeL._SY395_SX395_.jpg
Adidas Mens Rayrun M Running Shoe,"₹2,439","['Upper Material-Synthetic', 'Outersole material-Rubber', 'Ankle Height-Low', 'Arch Type-Medium']",165 ratings,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41iQ2h+RGXL._SY395_SX395_.jpg
Amazon Brand - Jam & Honey Unisex-Child PegasusSneaker,₹524.,"['Kids Knit shoe', 'Soft Eva Out sole', 'Soft Coushioned insole', 'Fit Type: Regular', 'Slip on shoe']",3 ratings,3.3 out of 5 stars,https://m.media-amazon.com/images/I/51dx58C6jqL._SX395_SY395_.jpg
Campus Men's BROKLYN Walking Shoes,₹849,"['Material Type: Mesh', 'Lifestyle: Sports', 'Warranty Type: Manufacturer', 'Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner']","1,107 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/31sIU5TTVvL._SY395_SX395_.jpg
